"","id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","trip_duration_hrs","dist_meters","dist_km","wait_sec","wait_min"
"4848",8594,"México DF Taxi Libre","19/05/2017 07:38","19/05/2017 07:48",-99.21166994,19.26762615,-99.21910034,19.28799032,"N",608,0.17,3099,3.099,83,1.383333333
"4849",8595,"México DF Taxi Libre","19/05/2017 07:55","19/05/2017 08:05",-99.19621032,19.46237997,-99.1852907,19.45957795,"N",592,0.16,2461,2.461,230,3.833333333
"4850",8596,"México DF Taxi Libre","19/05/2017 08:09","19/05/2017 08:22",-99.19196749,19.4618793,-99.17317374,19.46941946,"N",802,0.22,4363,4.363,222,3.7
"4851",8598,"México DF UberX","19/05/2017 09:41","19/05/2017 09:50",-99.12304684,19.50056042,-99.11360186,19.48207624,"N",552,0.15,2919,2.919,173,2.883333333
"4852",8601,"México DF Taxi Libre","19/05/2017 10:23","19/05/2017 10:42",-99.01243514,19.25571416,-99.04019079,19.25767682,"N",1138,0.32,3212,3.212,152,2.533333333
"4853",8603,"México DF Taxi de Sitio","19/05/2017 09:51","19/05/2017 09:56",-99.25282925,19.31059234,-99.25744614,19.31323048,"N",297,0.08,1094,1.094,68,1.133333333
"4854",8604,"México DF Taxi Libre","19/05/2017 11:06","19/05/2017 11:07",-99.2242208,19.2986959,-99.22391937,19.29885133,"N",59,0.02,59,0.059,50,0.833333333
"4855",8605,"México DF Taxi Libre","19/05/2017 11:04","19/05/2017 11:08",-99.19628901,19.46158519,-99.19317393,19.46002657,"N",222,0.06,975,0.975,60,1
"4856",8606,"México DF Taxi Libre","19/05/2017 11:10","19/05/2017 11:16",-99.11061706,19.40835418,-99.11552584,19.4153952,"N",371,0.1,2533,2.533,103,1.716666667
"4857",8607,"México DF Taxi Libre","19/05/2017 11:15","19/05/2017 11:20",-99.19650339,19.46144709,-99.1846604,19.45841614,"N",259,0.07,1736,1.736,83,1.383333333
"4858",8608,"México DF Taxi Libre","19/05/2017 11:32","19/05/2017 11:36",-99.19661067,19.46106701,-99.18678129,19.45899941,"N",246,0.07,1472,1.472,90,1.5
"4859",8609,"México DF Taxi Libre","19/05/2017 11:45","19/05/2017 11:49",-99.19626347,19.4628874,-99.18667722,19.46554364,"N",263,0.07,1664,1.664,32,0.533333333
"4860",8610,"México DF Taxi Libre","19/05/2017 12:21","19/05/2017 12:28",-99.19635548,19.46170922,-99.18758732,19.48082992,"N",388,0.11,3610,3.61,29,0.483333333
"4861",8612,"México DF Taxi Libre","19/05/2017 01:21","19/05/2017 01:28",-99.19648966,19.46166155,-99.20328114,19.45396293,"N",379,0.11,1783,1.783,94,1.566666667
"4862",8613,"México DF Taxi Libre","19/05/2017 10:42","19/05/2017 11:02",-99.14021,19.3022883,-99.15215364,19.31983168,"N",1167,0.32,4256,4.256,413,6.883333333
"4863",8614,"México DF Taxi Libre","19/05/2017 02:07","19/05/2017 02:13",-99.19134402,19.46168879,-99.19954504,19.45793518,"N",315,0.09,1721,1.721,68,1.133333333
"4864",8615,"México DF Taxi Libre","19/05/2017 02:24","19/05/2017 02:45",-99.19376597,19.46393699,-99.18497478,19.4595781,"N",1292,0.36,2012,2.012,377,6.283333333
"4865",8616,"México DF Taxi de Sitio","19/05/2017 02:39","19/05/2017 03:16",-99.26239965,19.32998233,-99.23580434,19.30509032,"N",2221,0.62,8535,8.535,347,5.783333333
"4866",8617,"México DF Taxi Libre","19/05/2017 04:02","19/05/2017 04:07",-99.17233116,19.39907162,-99.16605005,19.4009288,"N",292,0.08,734,0.734,93,1.55
"4867",8619,"México DF Taxi Libre","19/05/2017 04:12","19/05/2017 04:25",-99.21122054,19.26767988,-99.21827198,19.28760998,"N",743,0.21,5069,5.069,225,3.75
"4868",8622,"México DF Taxi Libre","19/05/2017 05:01","19/05/2017 05:15",-99.21129858,19.26770155,-99.21131816,19.29860408,"N",852,0.24,6372,6.372,234,3.9
"4869",8623,"México DF Taxi de Sitio","19/05/2017 05:22","19/05/2017 05:40",-99.15651777,19.26793256,-99.17416879,19.27078852,"N",1066,0.3,2137,2.137,42,0.7
"4870",8625,"México DF Taxi de Sitio","19/05/2017 06:39","19/05/2017 06:43",-99.14407585,19.32097641,-99.14897696,19.32166595,"N",218,0.06,603,0.603,53,0.883333333
"4871",8629,"México DF Taxi Libre","19/05/2017 08:08","19/05/2017 08:23",-99.14008135,19.30229395,-99.12246834,19.30300002,"N",908,0.25,3008,3.008,414,6.9
"4872",8630,"México DF Taxi Libre","19/05/2017 08:26","19/05/2017 08:37",-99.11243356,19.31778558,-99.12174161,19.30216009,"N",676,0.19,3120,3.12,286,4.766666667
"4873",8631,"México DF Taxi Libre","19/05/2017 10:11","19/05/2017 10:29",-99.2012657,19.34037754,-99.20516834,19.346866,"N",1076,0.3,5801,5.801,136,2.266666667
"4874",8632,"México DF Taxi Libre","19/05/2017 11:30","19/05/2017 11:35",-99.12473691,19.37241605,-99.11822428,19.37963362,"N",321,0.09,1635,1.635,51,0.85
"4875",8634,"México DF Taxi Libre","20/05/2017 06:15","20/05/2017 06:24",-99.18513818,19.43941746,-99.18523907,19.43957893,"N",526,0.15,76,0.076,257,4.283333333
"4876",8635,"México DF Taxi de Sitio","20/05/2017 06:24","20/05/2017 06:26",-99.18502956,19.44014097,-99.18505277,19.44012293,"N",78,0.02,33,0.033,80,1.333333333
"4877",8636,"México DF Taxi de Sitio","20/05/2017 06:26","20/05/2017 06:27",-99.18448269,19.44019799,-99.18490249,19.44011498,"N",36,0.01,50,0.05,26,0.433333333
"4878",8637,"México DF Radio Taxi","20/05/2017 06:28","20/05/2017 06:29",-99.18529455,19.43981871,-99.18498096,19.44007523,"N",43,0.01,85,0.085,29,0.483333333
"4879",8638,"México DF Radio Taxi","20/05/2017 06:29","20/05/2017 06:41",-99.18510295,19.44009379,-99.18553589,19.44025778,"N",699,0.19,219,0.219,434,7.233333333
"4880",8639,"México DF Taxi de Sitio","20/05/2017 10:20","20/05/2017 10:34",-99.26794287,19.30537806,-99.24742832,19.31773066,"N",796,0.22,2910,2.91,243,4.05
